Plate Name,Dilution,Colony Name,Sector Constant,Count / Frame,User,Flags,Created,Comments / Notes,Spiral Volume,Count / ml,Mean Count / ml,
V_1,1 : 100,A,4C,249,P3Admin,,5/18/2019 11:32:19 AM,,50ul,1.36E+006,1.36E+006,
V_2,1 : 100,A,W,62,P3Admin,,5/18/2019 11:32:47 AM,,50ul,1.24E+005,1.24E+005,
V_4,1 : 100,A,3C,165,P3Admin,,5/18/2019 11:33:46 AM,,50ul,7.64E+006,7.64E+006,
V_5,1 : 100,A,4B,191,P3Admin,,5/18/2019 11:34:22 AM,,50ul,6.37E+005,6.37E+005,
V_6,1 : 100,A,4B,172,P3Admin,,5/18/2019 11:34:36 AM,,50ul,5.73E+005,5.73E+005,
V_7,1 : 100,A,3A,179,P3Admin,,5/18/2019 11:34:51 AM,,50ul,1.7E+006,1.7E+006,
V_9,1 : 100,A,3B,188,P3Admin,,5/18/2019 11:35:09 AM,,50ul,3.43E+006,3.43E+006,
V_11,1 : 100,A,4C,164,P3Admin,,5/18/2019 11:35:26 AM,,50ul,8.97E+005,8.97E+005,
V_12,1 : 100,A,3B,257,P3Admin,,5/18/2019 11:35:41 AM,,50ul,4.69E+006,4.69E+006,
V_13,1 : 100,A,3B,178,P3Admin,,5/18/2019 11:35:56 AM,,50ul,3.25E+006,3.25E+006,
V_15,1 : 100,A,W,74,P3Admin,,5/18/2019 11:36:14 AM,,50ul,1.48E+005,1.48E+005,
V_16,1 : 100,A,4A,219,P3Admin,,5/18/2019 11:36:34 AM,,50ul,4.38E+005,4.38E+005,
V_18,1 : 100,A,3B,189,P3Admin,,5/18/2019 11:37:01 AM,,50ul,3.45E+006,3.45E+006,
V_19,1 : 100,A,W,125,P3Admin,,5/18/2019 11:37:17 AM,,50ul,2.5E+005,2.5E+005,
V_20,1 : 100,A,4C,179,P3Admin,,5/18/2019 11:37:35 AM,,50ul,9.79E+005,9.79E+005,
V_21,1 : 100,A,3A,224,P3Admin,,5/18/2019 11:37:50 AM,,50ul,2.12E+006,2.12E+006,
V_22,1 : 100,A,4B,200,P3Admin,,5/18/2019 11:38:07 AM,,50ul,6.67E+005,6.67E+005,
V_23,1 : 100,A,4C,178,P3Admin,,5/18/2019 11:38:22 AM,,50ul,9.74E+005,9.74E+005,
V_24,1 : 100,A,W,45,P3Admin,,5/18/2019 11:38:44 AM,,50ul,9.E+004,9.E+004,
V_25,1 : 100,A,4A,188,P3Admin,,5/18/2019 11:39:00 AM,,50ul,3.76E+005,3.76E+005,
V_26,1 : 100,A,3A,246,P3Admin,,5/18/2019 11:39:14 AM,,50ul,2.33E+006,2.33E+006,
V_27,1 : 100,A,W,100,P3Admin,,5/18/2019 11:39:29 AM,,50ul,2.E+005,2.E+005,
V_28,1 : 100,A,3A,161,P3Admin,,5/18/2019 11:39:57 AM,,50ul,1.52E+006,1.52E+006,
V_30,1 : 100,A,3B,173,P3Admin,,5/18/2019 11:40:36 AM,,50ul,3.16E+006,3.16E+006,
V_31,1 : 100,A,4B,193,P3Admin,,5/18/2019 11:40:52 AM,,50ul,6.43E+005,6.43E+005,
V_32,1 : 100,A,4C,251,P3Admin,,5/18/2019 11:41:08 AM,,50ul,1.37E+006,1.37E+006,
V_33,1 : 100,A,3B,205,P3Admin,,5/18/2019 11:41:26 AM,,50ul,3.74E+006,3.74E+006,
V_34,1 : 100,A,3B,164,P3Admin,,5/18/2019 11:41:41 AM,,50ul,2.99E+006,2.99E+006,
V_35,1 : 100,A,W,54,P3Admin,,5/18/2019 11:41:58 AM,,50ul,1.08E+005,1.08E+005,
V_36,1 : 100,A,3B,254,P3Admin,,5/18/2019 11:42:14 AM,,50ul,4.64E+006,4.64E+006,
V_37,1 : 100,A,3B,297,P3Admin,,5/18/2019 11:42:31 AM,,50ul,5.42E+006,5.42E+006,
V_38,1 : 100,A,3A,162,P3Admin,,5/18/2019 11:42:48 AM,,50ul,1.53E+006,1.53E+006,
V_39,1 : 100,A,4B,243,P3Admin,,5/18/2019 11:43:03 AM,,50ul,8.1E+005,8.1E+005,
V_40,1 : 100,A,4C,206,P3Admin,,5/18/2019 11:43:18 AM,,50ul,1.13E+006,1.13E+006,
1_1,1 : 100,A,3B,235,P3Admin,,5/18/2019 11:44:40 AM,,50ul,4.29E+006,4.29E+006,
1_2,1 : 100,A,3C,207,P3Admin,,5/18/2019 11:44:56 AM,,50ul,9.58E+006,9.58E+006,NO PROG
1_3,1 : 100,A,3B,262,P3Admin,,5/18/2019 11:45:14 AM,,50ul,4.78E+006,4.78E+006,
1_5,1 : 100,A,3B,185,P3Admin,,5/18/2019 11:45:38 AM,,50ul,3.38E+006,3.38E+006,
1_6,1 : 100,A,3B,206,P3Admin,,5/18/2019 11:45:57 AM,,50ul,3.76E+006,3.76E+006,
1_7,1 : 100,A,3B,259,P3Admin,,5/18/2019 11:46:17 AM,,50ul,4.73E+006,4.73E+006,
1_8,1 : 100,A,3A,241,P3Admin,,5/18/2019 11:46:34 AM,,50ul,2.28E+006,2.28E+006,
1_10,1 : 100,A,4A,205,P3Admin,,5/18/2019 11:46:54 AM,,50ul,4.1E+005,4.1E+005,
1_11,1 : 100,A,3B,222,P3Admin,,5/18/2019 11:47:15 AM,,50ul,4.05E+006,4.05E+006,
1_12,1 : 100,A,3B,259,P3Admin,,5/18/2019 11:47:32 AM,,50ul,4.73E+006,4.73E+006,
1_13,1 : 100,A,W,114,P3Admin,,5/18/2019 11:47:52 AM,,50ul,2.28E+005,2.28E+005,
1_14,1 : 100,A,3B,196,P3Admin,,5/18/2019 11:48:08 AM,,50ul,3.58E+006,3.58E+006,
1_15,1 : 100,A,3B,208,P3Admin,,5/18/2019 11:48:26 AM,,50ul,3.8E+006,3.8E+006,
1_16,1 : 100,A,4C,210,P3Admin,,5/18/2019 11:48:44 AM,,50ul,1.15E+006,1.15E+006,
1_17,1 : 100,A,3B,165,P3Admin,,5/18/2019 11:49:00 AM,,50ul,3.01E+006,3.01E+006,
1_18,1 : 100,A,3A,256,P3Admin,,5/18/2019 11:49:18 AM,,50ul,2.42E+006,2.42E+006,
1_19,1 : 100,A,4C,161,P3Admin,,5/18/2019 11:49:40 AM,,50ul,8.81E+005,8.81E+005,
1_20,1 : 100,A,3A,175,P3Admin,,5/18/2019 11:49:59 AM,,50ul,1.66E+006,1.66E+006,
1_21,1 : 100,A,3B,218,P3Admin,,5/18/2019 11:50:17 AM,,50ul,3.98E+006,3.98E+006,
1_22,1 : 100,A,3B,189,P3Admin,,5/18/2019 11:50:34 AM,,50ul,3.45E+006,3.45E+006,
1_23,1 : 100,A,W,126,P3Admin,,5/18/2019 11:51:00 AM,,50ul,2.52E+005,2.52E+005,
1_24,1 : 100,A,3B,210,P3Admin,,5/18/2019 11:51:17 AM,,50ul,3.83E+006,3.83E+006,
1_25,1 : 100,A,3B,263,P3Admin,,5/18/2019 11:51:41 AM,,50ul,4.8E+006,4.8E+006,
1_26,1 : 100,A,4C,163,P3Admin,,5/18/2019 11:51:57 AM,,50ul,8.92E+005,8.92E+005,
1_27,1 : 100,A,3A,199,P3Admin,,5/18/2019 11:52:15 AM,,50ul,1.88E+006,1.88E+006,
1_28,1 : 100,A,4C,241,P3Admin,,5/18/2019 11:52:33 AM,,50ul,1.32E+006,1.32E+006,
1_29,1 : 100,A,W,103,P3Admin,,5/18/2019 11:52:50 AM,,50ul,2.06E+005,2.06E+005,NO PROG
1_30,1 : 100,A,3B,247,P3Admin,,5/18/2019 11:53:07 AM,,50ul,4.51E+006,4.51E+006,
1_31,1 : 100,A,4B,170,P3Admin,,5/18/2019 11:53:24 AM,,50ul,5.67E+005,5.67E+005,
1_32,1 : 100,A,3A,243,P3Admin,,5/18/2019 11:53:42 AM,,50ul,2.3E+006,2.3E+006,
1_33,1 : 100,A,3A,182,P3Admin,,5/18/2019 11:54:01 AM,,50ul,1.72E+006,1.72E+006,
1_34,1 : 100,A,3C,178,P3Admin,,5/18/2019 11:54:18 AM,,50ul,8.24E+006,8.24E+006,
1_35,1 : 100,A,3B,248,P3Admin,,5/18/2019 11:54:36 AM,,50ul,4.53E+006,4.53E+006,NO PROG
1_36,1 : 100,A,3A,221,P3Admin,,5/18/2019 11:54:55 AM,,50ul,2.09E+006,2.09E+006,
1_37,1 : 100,A,W,42,P3Admin,,5/18/2019 11:55:13 AM,,50ul,8.4E+004,8.4E+004,
2_1,1 : 100,A,3B,230,P3Admin,,5/18/2019 11:55:48 AM,,50ul,4.2E+006,4.2E+006,
2_4,1 : 100,A,3B,241,P3Admin,,5/18/2019 11:57:02 AM,,50ul,4.4E+006,4.4E+006,
2_5,1 : 100,A,4B,173,P3Admin,,5/18/2019 11:57:20 AM,,50ul,5.77E+005,5.77E+005,
2_6,1 : 100,A,3B,264,P3Admin,,5/18/2019 11:57:38 AM,,50ul,4.82E+006,4.82E+006,NO GFP
2_7,1 : 100,A,3C,176,P3Admin,,5/18/2019 11:57:57 AM,,50ul,8.15E+006,8.15E+006,
2_8,1 : 100,A,3B,162,P3Admin,,5/18/2019 11:58:15 AM,,50ul,2.96E+006,2.96E+006,
2_9,1 : 100,A,3B,250,P3Admin,,5/18/2019 11:58:35 AM,,50ul,4.56E+006,4.56E+006,NO 2ND PROG
2_10,1 : 100,A,3B,169,P3Admin,,5/18/2019 11:58:53 AM,,50ul,3.08E+006,3.08E+006,
2_11,1 : 100,A,3B,243,P3Admin,,5/18/2019 11:59:15 AM,,50ul,4.43E+006,4.43E+006,
2_12,1 : 100,A,3B,306,P3Admin,,5/18/2019 11:59:33 AM,,50ul,5.58E+006,5.58E+006,
2_13,1 : 100,A,3B,268,P3Admin,,5/18/2019 11:59:52 AM,,50ul,4.89E+006,4.89E+006,
2_15,1 : 100,A,3B,290,P3Admin,,5/18/2019 12:00:13 PM,,50ul,5.29E+006,5.29E+006,
2_16,1 : 100,A,3C,181,P3Admin,,5/18/2019 12:00:30 PM,,50ul,8.38E+006,8.38E+006,
2_17,1 : 100,A,4B,244,P3Admin,,5/18/2019 12:00:49 PM,,50ul,8.13E+005,8.13E+005,
2_18,1 : 100,A,3C,190,P3Admin,,5/18/2019 12:01:09 PM,,50ul,8.8E+006,8.8E+006,
2_19,1 : 100,A,3B,285,P3Admin,,5/18/2019 12:01:29 PM,,50ul,5.2E+006,5.2E+006,
2_20,1 : 100,A,4C,167,P3Admin,,5/18/2019 12:01:51 PM,,50ul,9.14E+005,9.14E+005,NO 2ND PROG
2_21,1 : 100,A,3A,245,P3Admin,,5/18/2019 12:02:10 PM,,50ul,2.32E+006,2.32E+006,
2_22,1 : 100,A,W,63,P3Admin,,5/18/2019 12:02:28 PM,,50ul,1.26E+005,1.26E+005,
2_23,1 : 100,A,3A,162,P3Admin,,5/18/2019 12:02:47 PM,,50ul,1.53E+006,1.53E+006,
2_24,1 : 100,A,4C,180,P3Admin,,5/18/2019 12:03:07 PM,,50ul,9.85E+005,9.85E+005,NO GFP
2_25,1 : 100,A,3A,189,P3Admin,,5/18/2019 12:03:26 PM,,50ul,1.79E+006,1.79E+006,
2_26,1 : 100,A,4C,178,P3Admin,,5/18/2019 12:03:44 PM,,50ul,9.74E+005,9.74E+005,
2_27,1 : 100,A,4C,169,P3Admin,,5/18/2019 12:04:03 PM,,50ul,9.25E+005,9.25E+005,
2_28,1 : 100,A,4C,236,P3Admin,,5/18/2019 12:04:24 PM,,50ul,1.29E+006,1.29E+006,
2_29,1 : 100,A,3A,211,P3Admin,,5/18/2019 12:04:45 PM,,50ul,2.E+006,2.E+006,
2_30,1 : 100,A,3B,216,P3Admin,,5/18/2019 12:05:04 PM,,50ul,3.94E+006,3.94E+006,
2_31,1 : 100,A,4A,179,P3Admin,,5/18/2019 12:05:22 PM,,50ul,3.58E+005,3.58E+005,
2_32,1 : 100,A,3A,265,P3Admin,,5/18/2019 12:05:41 PM,,50ul,2.51E+006,2.51E+006,
2_33,1 : 100,A,3C,160,P3Admin,,5/18/2019 12:06:00 PM,,50ul,7.41E+006,7.41E+006,
2_34,1 : 100,A,4C,203,P3Admin,,5/18/2019 12:06:21 PM,,50ul,1.11E+006,1.11E+006,NO 2ND PROG
2_3,1 : 1000,A,3A,209,P3Admin,,5/21/2019 3:02:25 PM,,50ul,1.98E+007,1.51E+007,
2_2,1 : 1000,A,3A,225,P3Admin,,5/21/2019 3:02:54 PM,,50ul,2.13E+007,1.5E+007,NO 2ND PROG
2_14,1 : 10,A,W,53,P3Admin,,5/21/2019 3:03:21 PM,,50ul,1.06E+004,1.06E+004,
V_29,1 : 10,A,4A,206,P3Admin,,5/21/2019 3:03:53 PM,,50ul,4.12E+004,4.56E+004,
V_17,1 : 10,A,W,42,P3Admin,,5/21/2019 3:05:17 PM,,50ul,8.4E+003,8.4E+003,
V_3,1 : 10,A,W,153,P3Admin,,5/21/2019 3:05:47 PM,,50ul,3.06E+004,4.53E+004,