Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,,23.9821629,NaN
A02,SYBR,,Unkn,,25.64226451,NaN
A03,SYBR,,Unkn,,24.39894971,NaN
A04,SYBR,,Unkn,,25.38974496,NaN
A05,SYBR,,Unkn,,24.71011982,NaN
A06,SYBR,,Unkn,,28.80605788,NaN
A07,SYBR,,Unkn,,30.09726139,NaN
A08,SYBR,,Unkn,,27.57143866,NaN
A09,SYBR,,Unkn,,NaN,NaN
A10,SYBR,,Unkn,,NaN,NaN
A11,SYBR,,Unkn,,NaN,NaN
A12,SYBR,,Unkn,,NaN,NaN
B01,SYBR,,Unkn,,23.42195253,NaN
B02,SYBR,,Unkn,,27.13784473,NaN
B03,SYBR,,Unkn,,25.11580215,NaN
B04,SYBR,,Unkn,,23.90945134,NaN
B05,SYBR,,Unkn,,22.00833091,NaN
B06,SYBR,,Unkn,,29.9265795,NaN
B07,SYBR,,Unkn,,30.36113808,NaN
B08,SYBR,,Unkn,,27.21837317,NaN
B09,SYBR,,Unkn,,NaN,NaN
B10,SYBR,,Unkn,,NaN,NaN
B11,SYBR,,Unkn,,NaN,NaN
B12,SYBR,,Unkn,,NaN,NaN
C01,SYBR,,Unkn,,24.12128127,NaN
C02,SYBR,,Unkn,,25.83629933,NaN
C03,SYBR,,Unkn,,23.2292065,NaN
C04,SYBR,,Unkn,,23.34985791,NaN
C05,SYBR,,Unkn,,23.32377953,NaN
C06,SYBR,,Unkn,,28.10752346,NaN
C07,SYBR,,Unkn,,29.19907247,NaN
C08,SYBR,,Unkn,,39.025637,NaN
C09,SYBR,,Unkn,,NaN,NaN
C10,SYBR,,Unkn,,NaN,NaN
C11,SYBR,,Unkn,,NaN,NaN
C12,SYBR,,Unkn,,NaN,NaN
D01,SYBR,,Unkn,,24.83742951,NaN
D02,SYBR,,Unkn,,27.68811729,NaN
D03,SYBR,,Unkn,,25.54286179,NaN
D04,SYBR,,Unkn,,26.30210149,NaN
D05,SYBR,,Unkn,,29.25365824,NaN
D06,SYBR,,Unkn,,28.86065119,NaN
D07,SYBR,,Unkn,,35.23002152,NaN
D08,SYBR,,Unkn,,38.38414019,NaN
D09,SYBR,,Unkn,,NaN,NaN
D10,SYBR,,Unkn,,NaN,NaN
D11,SYBR,,Unkn,,NaN,NaN
D12,SYBR,,Unkn,,NaN,NaN
E01,SYBR,,Unkn,,21.8207928,NaN
E02,SYBR,,Unkn,,26.81824191,NaN
E03,SYBR,,Unkn,,24.63560496,NaN
E04,SYBR,,Unkn,,25.24706787,NaN
E05,SYBR,,Unkn,,23.01172058,NaN
E06,SYBR,,Unkn,,28.31782211,NaN
E07,SYBR,,Unkn,,27.54309786,NaN
E08,SYBR,,Unkn,,NaN,NaN
E09,SYBR,,Unkn,,NaN,NaN
E10,SYBR,,Unkn,,NaN,NaN
E11,SYBR,,Unkn,,NaN,NaN
E12,SYBR,,Unkn,,NaN,NaN
F01,SYBR,,Unkn,,22.90833076,NaN
F02,SYBR,,Unkn,,27.06497452,NaN
F03,SYBR,,Unkn,,25.36168455,NaN
F04,SYBR,,Unkn,,24.59153271,NaN
F05,SYBR,,Unkn,,26.74032294,NaN
F06,SYBR,,Unkn,,29.37158954,NaN
F07,SYBR,,Unkn,,27.95314198,NaN
F08,SYBR,,Unkn,,NaN,NaN
F09,SYBR,,Unkn,,NaN,NaN
F10,SYBR,,Unkn,,NaN,NaN
F11,SYBR,,Unkn,,NaN,NaN
F12,SYBR,,Unkn,,NaN,NaN
G01,SYBR,,Unkn,,25.99203912,NaN
G02,SYBR,,Unkn,,27.70469101,NaN
G03,SYBR,,Unkn,,22.75090684,NaN
G04,SYBR,,Unkn,,21.97254789,NaN
G05,SYBR,,Unkn,,25.50492731,NaN
G06,SYBR,,Unkn,,28.42142098,NaN
G07,SYBR,,Unkn,,27.15795138,NaN
G08,SYBR,,Unkn,,NaN,NaN
G09,SYBR,,Unkn,,NaN,NaN
G10,SYBR,,Unkn,,NaN,NaN
G11,SYBR,,Unkn,,NaN,NaN
G12,SYBR,,Unkn,,NaN,NaN
H01,SYBR,,Unkn,,23.73027334,NaN
H02,SYBR,,Unkn,,27.80200872,NaN
H03,SYBR,,Unkn,,22.09234663,NaN
H04,SYBR,,Unkn,,24.80943978,NaN
H05,SYBR,,Unkn,,27.32192646,NaN
H06,SYBR,,Unkn,,28.75275867,NaN
H07,SYBR,,Unkn,,29.41751696,NaN
H08,SYBR,,Unkn,,NaN,NaN
H09,SYBR,,Unkn,,NaN,NaN
H10,SYBR,,Unkn,,NaN,NaN
H11,SYBR,,Unkn,,NaN,NaN
H12,SYBR,,Unkn,,NaN,NaN